"Time"	"31 Keyboard"	"2 Stim"	"1 extraLFP"
0	0	1	-30.98
0.01	0	0	-5.19
0.02	0	0	23.96
0.03	0	0	-2.75
0.04	0	0	12.82
0.05	0	0	-8.24
0.06	0	0	-20.60
0.07	0	0	21.36
0.08	0	0	-5.19
0.09	0	0	13.73
0.10	0	0	-1.83
0.11	0	0	7.78
0.12	0	0	-45.01
0.13	0	0	52.34
0.14	0	0	5.19
0.15	0	0	-11.29
0.16	0	0	12.97
0.17	0	0	41.20
0.18	0	0	16.02
0.19	0	0	9.16
0.20	0	0	-10.07
0.21	0	0	-28.38
0.22	0	0	30.98
0.23	0	0	-29.91
0.24	0	0	-37.08
0.25	0	0	19.38
0.26	0	0	-64.54
0.27	0	0	-26.25
0.28	0	0	18.77
0.29	0	0	-1.98
0.30	0	0	0.46
